archetype_id,name_en,name_pl,symbol,base_weight,curiosity_security,logic_emotion,independence_belonging,observation_action,present_future,spontaneity_control,pragmatism_idealism,stability_transformation,nature_technology,creator_builder,confidence_hesitation,openness_guardedness,consistency_contradiction
explorer_of_possibilities,Explorer of Possibilities,Poszukiwacz Możliwości,compass,0.04388,74,18,-18,32,48,-38,38,58,8,-30,-8,-14,8
peace_architect,Peace Architect,Architekt Spokoju,dome,0.04726,-42,-15,32,-30,-18,58,-6,-55,-26,38,-26,16,-26
experience_hunter,Experience Hunter,Łowca Doświadczeń,spark,0.03713,78,32,-36,62,-22,-60,6,56,-8,-5,-36,-22,22
relationship_guardian,Relationship Guardian,Strażnik Relacji,bridge,0.05232,-14,68,70,-10,4,36,30,-20,-36,16,18,30,-8
meaning_collector,Meaning Collector,Kolekcjoner Znaczeń,archive,0.03797,34,58,-6,-55,52,20,68,16,-20,-50,26,18,6
future_builder,Future Builder,Twórca Przyszłości,horizon,0.04219,42,-24,-26,44,74,48,35,44,50,62,-16,4,-12
rational_mapper,Rational Mapper,Racjonalny Kartograf,grid,0.04726,10,-74,-32,-45,30,62,-42,-5,26,48,-32,8,-36
emotional_mirror,Emotional Mirror,Lustro Emocji,mirror,0.0346,18,78,38,-20,8,8,50,24,-40,-30,42,16,20
boundary_keeper,Boundary Keeper,Strażnik Granic,shield,0.05063,-56,-20,-58,-32,-8,68,-24,-54,-18,32,8,62,-16
social_chameleon,Social Chameleon,Społeczny Kameleon,mask,0.03544,6,40,62,20,-15,6,12,18,-4,-8,28,50,50
wild_transformer,Wild Transformer,Dziki Transformator,flame,0.03376,62,26,-48,54,32,-52,42,78,6,-18,16,-6,38
craft_builder,Craft Builder,Budowniczy Rzeczy,anvil,0.05063,-6,-42,-16,58,26,52,-54,-28,20,76,-24,8,-22
quiet_observer,Quiet Observer,Cichy Obserwator,eye,0.05401,-10,-26,-24,-72,18,52,8,-16,-8,-24,20,36,-28
signal_seeker,Signal Seeker,Łowca Sygnałów,antenna,0.03291,62,-10,-28,-18,60,-18,42,50,30,-38,8,-4,16
intuitive_connector,Intuitive Connector,Intuicyjny Łącznik,orbit,0.03966,20,68,54,-16,16,-4,42,28,-24,-20,24,8,16
precision_operator,Precision Operator,Operator Precyzji,caliper,0.04641,-18,-62,-24,52,24,72,-48,-36,22,68,-36,18,-44
inner_rebel,Inner Rebel,Wewnętrzny Buntownik,bolt,0.03207,58,18,-68,48,18,-58,24,64,10,-16,8,10,42
careful_strategist,Careful Strategist,Ostrożny Strateg,chess,0.04726,-30,-44,-22,-16,50,76,-24,-38,16,54,-20,34,-30
sensory_naturalist,Sensory Naturalist,Zmysłowy Naturalista,leaf,0.03713,18,30,-10,16,-30,-28,20,16,-74,-10,-10,-16,6
tech_alchemist,Tech Alchemist,Technologiczny Alchemik,circuit,0.03207,40,-22,-18,32,60,24,20,46,78,24,-8,0,10
devoted_stabilizer,Devoted Stabilizer,Oddany Stabilizator,anchor,0.05401,-52,10,50,-14,-38,68,-10,-66,-22,36,-16,26,-30
private_visionary,Private Visionary,Prywatny Wizjoner,moon,0.03207,50,42,-54,-42,70,10,66,38,4,-46,38,54,26
playful_catalyst,Playful Catalyst,Figlarny Katalizator,star,0.03207,70,46,16,50,-16,-68,28,58,-4,-18,-18,-28,32
ethical_builder,Ethical Builder,Etyczny Budowniczy,pillar,0.04726,10,16,18,42,56,50,68,8,16,62,-18,10,-22
