source_id,source_name,source_url,license_summary,allowed_use_status,usage_mode,commercial_risk,human_verified,evidence_type,notes
SRC_IPIP_PD,IPIP - International Personality Item Pool,https://ipip.ori.org/,Public domain per project documentation; item wording should still be checked before verbatim production use.,candidate_ready,construct_adaptation,low,True,psychometric_item_pool,Primary source for personality constructs; items are rewritten into TO99 voice.
SRC_IPIP_NEO_PD,IPIP-NEO / IPIP-NEO-120,https://ipip.ori.org/newNEOKey.htm,Derived from IPIP public-domain pool; verify exact item wording if used verbatim.,candidate_ready,construct_adaptation,low,True,big_five_facets,Used for Big Five facet inspiration; rewritten to four-choice TO99 format.
SRC_BIGFIVE_OPEN,Big Five open implementations,https://github.com/openpsychometrics,Open-source implementations vary; audit repository-level license before verbatim reuse.,audit_required,construct_adaptation,medium,True,open_source_questionnaire,"Use constructs, not copied wording, unless repository license is confirmed."
SRC_GSS,GSS - General Social Survey,https://gss.norc.org/,Public research survey/data; question wording and codebook terms require citation and license review for production.,audit_required,construct_adaptation,medium,True,social_survey,"Used for values, trust, work, family and social attitudes."
SRC_ESS,ESS - European Social Survey,https://www.europeansocialsurvey.org/,Research data access terms apply; module-specific audit required.,audit_required,inspiration_only,medium,True,cross_national_social_survey,Use as construct and benchmark inspiration; do not claim current sample without imported data.
SRC_ISSP,ISSP - International Social Survey Programme,https://issp.org/,Questionnaire/data access through partners and archives; audit required.,audit_required,inspiration_only,medium,True,international_social_survey,"Used for family, work, religion, citizenship, inequality and identity constructs."
SRC_WVS,World Values Survey,https://www.worldvaluessurvey.org/,Often non-commercial/research-oriented; treat as inspiration unless licensed.,research_only,inspiration_only,high,True,global_values_survey,Use only for broad construct inspiration unless license is cleared.
SRC_RAND_MOS,RAND MOS Social Support Survey,https://www.rand.org/health-care/surveys_tools/mos/social-support.html,RAND public survey materials; avoid clinical claims and audit any commercial use.,audit_required,construct_adaptation,medium,True,social_support_measure,"Used for support, loneliness, belonging, trust and relational safety."
SRC_OPENPSYCH,OpenPsychometrics raw data,https://openpsychometrics.org/_rawdata/,Datasets and scales have mixed conditions; audit per instrument.,audit_required,calibration_inspiration,medium,True,open_response_datasets,"Used for calibration ideas and content inspiration, not direct copying."
SRC_SAPA,SAPA Project,https://www.sapa-project.org/,Research project; use construct maps and publications only with appropriate review.,audit_required,construct_adaptation,medium,True,personality_structure_project,Used for personality trait structure inspiration.
SRC_MFQ,Moral Foundations Questionnaire,https://moralfoundations.org/questionnaires/,Questionnaire use terms need review; safe as construct inspiration.,audit_required,inspiration_only,medium,True,moral_psychology_measure,"Used for moral dilemmas: care, fairness, loyalty, authority, sanctity and liberty."
SRC_MFV,Moral Foundations Vignettes / moral scenario databases,https://osf.io/,Dataset-specific licenses vary; use generated scenarios and audit original vignettes.,audit_required,inspiration_only,medium,True,moral_vignettes,Used to shape short moral scenario formats; no direct vignettes copied.
SRC_MACQ,Morality as Cooperation Questionnaire,https://www.morality-as-cooperation.org/,Research questionnaire; audit licensing before reuse.,audit_required,construct_adaptation,medium,True,moral_cooperation_measure,"Used for loyalty, reciprocity, property, bravery and cooperation constructs."
SRC_SOBC,Science of Behavior Change Measures Repository,https://scienceofbehaviorchange.org/,Repository of measures; license depends on each instrument.,audit_required,construct_adaptation,medium,True,behavior_change_measures,"Used for self-regulation, habit, attention and pressure constructs."
SRC_WIKIDATA_CC0,Wikidata pop-culture and public-domain metadata,https://www.wikidata.org/wiki/Wikidata:Licensing,Wikidata content is generally CC0; avoid copyrighted plot/character text.,candidate_ready,topic_inspiration,low,True,open_knowledge_metadata,"Used only for broad pop-culture motifs, not copyrighted expression."
SRC_GUTENBERG_PD,Project Gutenberg public-domain literature motifs,https://www.gutenberg.org/,Public-domain texts vary by jurisdiction; use motifs only and audit before quoting.,audit_required,motif_inspiration,medium,True,public_domain_literature,"Used for archetypal motifs: door, island, letter, map, oath, shadow, journey."
SRC_PUBLIC_DOMAIN_PUZZLES,Traditional/public-domain puzzle and riddle formats,https://en.wikipedia.org/wiki/Riddle,Traditional forms only; avoid copying modern proprietary puzzle wording.,inspiration_only,format_inspiration,medium,True,puzzle_format,Used for original TO99 riddles and cognitive traps.
